Depth (m)	count	age (b1950)	MCE
167.879	1.0	1999.0	50.0
167.923	1.0	2000.0	50.0
167.997	1.0	2001.0	50.0
168.05	1.0	2002.0	50.0
168.131	1.0	2003.0	50.0
168.213	1.0	2004.0	50.0
168.276	1.0	2005.0	50.0
168.326	1.0	2006.0	50.0
168.388	1.0	2007.0	50.0
168.45	1.0	2008.0	50.5
168.497	1.0	2009.0	50.5
168.627	1.0	2010.0	50.5
168.701	1.0	2011.0	50.5
168.79	1.0	2012.0	50.5
168.861	1.0	2013.0	50.5
168.934	1.0	2014.0	50.5
168.967	1.0	2015.0	50.5
169.003	1.0	2016.0	50.5
169.06	1.0	2017.0	50.5
169.167	1.0	2018.0	50.5
169.226	1.0	2019.0	50.5
169.317	1.0	2020.0	50.5
